,model_name,max_energy,max_energy,max_energy,max_energy,eta,eta,eta,eta,gamma,gamma,gamma,gamma
,,mean,min,max,std,mean,min,max,std,mean,min,max,std
0,clu-avg,0.11764705882352942,0.10294117647058826,0.1323529411764706,0.02079725827019256,0.9333333333333336,-0.4666666666666668,2.333333333333334,1.9798989873223336,0.4666666666666668,0.4666666666666668,0.4666666666666668,0.0
1,clu-dist,0.08088235294117652,0.07352941176470595,0.08823529411764708,0.01039862913509625,1.166666666666667,0.9333333333333336,1.4000000000000004,0.32998316455372223,1.8666666666666671,1.8666666666666671,1.8666666666666671,0.0
2,clu-max,0.10294117647058823,0.08823529411764708,0.11764705882352938,0.02079725827019254,0.0,-0.4666666666666668,0.4666666666666668,0.6599663291074445,1.4000000000000004,0.4666666666666668,2.333333333333334,1.319932658214889
3,clu-min,0.11029411764705888,0.10294117647058831,0.11764705882352944,0.01039862913509625,0.4666666666666668,-0.4666666666666668,1.4000000000000004,1.319932658214889,0.0,0.0,0.0,0.0
4,clu-prod,0.125,0.11764705882352944,0.13235294117647056,0.01039862913509625,2.1000000000000005,1.8666666666666671,2.333333333333334,0.32998316455372223,0.0,0.0,0.0,0.0
5,deg-avg,0.1029411764705882,0.1029411764705882,0.1029411764705882,0.0,0.4666666666666668,0.0,0.9333333333333336,0.6599663291074445,0.4666666666666668,0.4666666666666668,0.4666666666666668,0.0
6,deg-dist,0.13235294117647056,0.13235294117647056,0.13235294117647056,0.0,1.4000000000000004,1.4000000000000004,1.4000000000000004,0.0,-0.6999999999999997,-1.8666666666666663,0.4666666666666668,1.6499158227686106
7,deg-max,0.10294117647058823,0.1029411764705882,0.10294117647058826,3.925231146709438e-17,1.166666666666667,0.9333333333333336,1.4000000000000004,0.32998316455372223,0.2333333333333334,0.0,0.4666666666666668,0.32998316455372223
8,deg-min,0.12500000000000006,0.11764705882352944,0.13235294117647067,0.01039862913509633,0.7000000000000002,-0.4666666666666668,1.8666666666666671,1.6499158227686113,0.0,0.0,0.0,0.0
9,deg-prod,0.11764705882352941,0.11764705882352938,0.11764705882352944,3.925231146709438e-17,0.9333333333333336,0.0,1.8666666666666671,1.319932658214889,0.0,0.0,0.0,0.0
10,matching,0.13235294117647062,0.1323529411764706,0.13235294117647067,6.798699777552591e-17,1.8666666666666671,1.4000000000000004,2.333333333333334,0.6599663291074445,0.0,0.0,0.0,0.0
11,neighbors,0.11764705882352941,0.1029411764705882,0.13235294117647062,0.020797258270192617,0.7000000000000002,-0.4666666666666668,1.8666666666666671,1.6499158227686113,0.0,0.0,0.0,0.0
12,spatial,0.10294117647058823,0.1029411764705882,0.10294117647058826,3.925231146709438e-17,0.4666666666666668,-0.9333333333333336,1.8666666666666671,1.9798989873223336,4.199999999999999,4.199999999999999,4.199999999999999,0.0
