,model_name,max_energy,max_energy,max_energy,max_energy,eta,eta,eta,eta,gamma,gamma,gamma,gamma
,,mean,min,max,std,mean,min,max,std,mean,min,max,std
0,clu-avg,0.1323529411764706,0.11764705882352944,0.14705882352941174,0.02079725827019254,0.2333333333333334,-0.4666666666666668,0.9333333333333336,0.9899494936611668,0.0,0.0,0.0,0.0
1,clu-dist,0.10294117647058826,0.08823529411764708,0.11764705882352944,0.02079725827019258,-0.2333333333333334,-0.9333333333333336,0.4666666666666668,0.9899494936611668,1.4000000000000004,0.9333333333333336,1.8666666666666671,0.6599663291074445
2,clu-max,0.11029411764705885,0.10294117647058831,0.11764705882352938,0.010398629135096212,0.2333333333333334,-0.4666666666666668,0.9333333333333336,0.9899494936611668,2.1000000000000005,0.9333333333333336,3.2666666666666675,1.6499158227686113
3,clu-min,0.14705882352941174,0.1323529411764706,0.16176470588235292,0.02079725827019257,-0.4666666666666668,-0.9333333333333336,0.0,0.6599663291074445,0.0,0.0,0.0,0.0
4,clu-prod,0.16176470588235295,0.1470588235294118,0.1764705882352941,0.02079725827019254,-0.4666666666666668,-0.4666666666666668,-0.4666666666666668,0.0,-4.433333333333334,-4.666666666666666,-4.2,0.32998316455372195
5,deg-avg,0.11764705882352944,0.11764705882352944,0.11764705882352944,0.0,0.0,-0.4666666666666668,0.4666666666666668,0.6599663291074445,0.2333333333333334,0.0,0.4666666666666668,0.32998316455372223
6,deg-dist,0.1323529411764706,0.11764705882352944,0.14705882352941174,0.02079725827019254,0.0,-0.4666666666666668,0.4666666666666668,0.6599663291074445,-1.8666666666666667,-3.7333333333333334,0.0,2.6398653164297774
7,deg-max,0.11029411764705886,0.10294117647058831,0.11764705882352941,0.01039862913509623,0.4666666666666668,0.0,0.9333333333333336,0.6599663291074445,0.2333333333333334,0.0,0.4666666666666668,0.32998316455372223
8,deg-min,0.14705882352941177,0.14705882352941177,0.14705882352941177,0.0,0.2333333333333334,0.0,0.4666666666666668,0.32998316455372223,0.0,0.0,0.0,0.0
9,deg-prod,0.13235294117647056,0.13235294117647056,0.1323529411764706,0.0,0.0,-0.4666666666666668,0.4666666666666668,0.6599663291074445,0.0,0.0,0.0,0.0
10,matching,0.16911764705882354,0.16176470588235292,0.17647058823529413,0.010398629135096319,0.2333333333333334,0.0,0.4666666666666668,0.32998316455372223,0.0,0.0,0.0,0.0
11,neighbors,0.1764705882352941,0.1764705882352941,0.17647058823529413,0.0,1.4000000000000004,0.4666666666666668,2.333333333333334,1.319932658214889,0.0,0.0,0.0,0.0
12,spatial,0.10294117647058824,0.08823529411764708,0.11764705882352941,0.02079725827019256,0.0,0.0,0.0,0.0,-5.833333333333333,-7.0,-4.666666666666666,1.6499158227686113
